Temperature,L=20,L=20_error,L=30,L=30_error,L=40,L=40_error,L=50,L=50_error,L=60,L=60_error,L=70,L=70_error
0.7,0.11306987499606985,0.0009068713095858276,0.11907958498006883,0.000784560877022751,0.12109200607211316,0.000734872410001749,0.12368829227953704,0.0007022543091838768,0.12468678083981184,0.0006688522189348465,0.12511020048687188,0.0006661462028838068
0.7333333333333333,0.12154560813313742,0.0009610000069433327,0.1272919734242439,0.0008552085694708178,0.12910450859351608,0.0007814277036053947,0.13303268286362252,0.0007365340275810145,0.13382086035955879,0.0007244020227338248,0.13500935789244364,0.0006897668751033676
0.7666666666666666,0.1307382019779346,0.001004309148790211,0.13659864982375727,0.0009015942053084541,0.14074740966824734,0.0008226894249923988,0.14189239676789794,0.0007727720855627207,0.14276420627305608,0.0007585301367560635,0.1455056749716007,0.0007471543158768712
0.7999999999999999,0.13919858038919464,0.0011036455267548772,0.14730784211130787,0.0009647268440000243,0.15187544470951947,0.0008958139910067119,0.15290167347719477,0.0008490264460029831,0.1556525749313312,0.0008189820760732125,0.156280149006768,0.0007672813587105823
0.8333333333333333,0.1534761175647278,0.0012090474711956682,0.1589842236928096,0.0010379135790586653,0.1633718021529103,0.0009848475424482706,0.16696985765464253,0.0009306986689384636,0.16709390670091365,0.0009040430652700576,0.16935723398376942,0.0008503290922037561
0.8666666666666666,0.16577342496799619,0.0013424460806629986,0.17448266291102388,0.0011972167287547257,0.17781419859455594,0.0010642477996599012,0.18119069488110315,0.0010165234760371076,0.18179977291589683,0.0009499716844603444,0.18627862889934438,0.0009301254046381101
0.8999999999999999,0.18139830853619396,0.0014946983978080825,0.19308884686144917,0.001321161091394271,0.19827907137630033,0.0012467188849739797,0.20167035670647632,0.0011391857863889254,0.20267581198349058,0.0011147362438129328,0.20754223819064188,0.0010584692425481153
0.9333333333333333,0.19928818707375143,0.0016725872759717143,0.21875612710284592,0.001582406929545597,0.2246224051954238,0.0014779256280365127,0.23121092663824203,0.0014042773028105206,0.23532415949637148,0.0012993246026235575,0.23863683897305055,0.001315689340954194
0.9666666666666666,0.22834363251909506,0.00206966961560164,0.2515616143103994,0.0019263309054153618,0.26188579096323605,0.0018665493615304318,0.28004905110716877,0.0018489255278645914,0.28983836707661,0.0018398466742518497,0.2997094970576529,0.0017998821372677
1.0,0.27098494387354183,0.0026134299512765254,0.30853651001698323,0.0025786906274655372,0.33533572644192783,0.0025463058025370837,0.36353389057624014,0.002642304982348536,0.38793006419859344,0.0026238986412013138,0.4123210080857033,0.0026960337729935897
1.0333333333333332,0.3262583478705987,0.0032948488053845862,0.3916946875991564,0.003311752169179691,0.44742854024464557,0.0034658355618514664,0.4981048634470235,0.003413140985179744,0.5467319196964666,0.0031898637340866194,0.579045780051361,0.003036995072647128
1.0666666666666667,0.4008020886100651,0.004065332241734485,0.5047939931545781,0.004207567807173239,0.5882816349340556,0.004032070374082243,0.6487809793250672,0.0035688441688535486,0.6945136283289851,0.0029710836302897746,0.7218680862348444,0.0026871940968530624
1.1,,,,,,,,,,,,
1.1333333333333333,,,,,,,,,,,,
1.1666666666666665,,,,,,,,,,,,
1.2,,,,,,,,,,,,
1.2333333333333334,,,,,,,,,,,,
1.2666666666666666,,,,,,,,,,,,
1.2999999999999998,,,,,,,,,,,,
1.3333333333333333,,,,,,,,,,,,
1.3666666666666667,,,,,,,,,,,,
1.4,,,,,,,,,,,,
1.4333333333333331,,,,,,,,,,,,
1.4666666666666666,,,,,,,,,,,,
1.5,,,,,,,,,,,,
