Temperature,L=20,L=20_error,L=30,L=30_error,L=40,L=40_error,L=50,L=50_error,L=60,L=60_error,L=70,L=70_error
0.7,0.7781033130839639,0.0007053698066328966,0.777457519966553,0.0005790955513294822,0.7765198369344724,0.0005626865766385989,0.7767085025785496,0.0005437020174703928,0.7767285883295312,0.0005200390947857485,0.7772519039315595,0.0004852427593204421
0.7333333333333333,0.7607807972460219,0.0008760836532885253,0.7605530576600555,0.0007879147577797008,0.7602055415643187,0.0006447423374833934,0.7604255774250466,0.0006349792800976927,0.7602155172158385,0.0006353948473094539,0.7599282599306654,0.000598215510147192
0.7666666666666666,0.743844253110009,0.0010828001688791575,0.7400887157122786,0.0009354161797520115,0.7419854311905247,0.0008191795861380072,0.7406398239699128,0.0008416201467150586,0.7415403084689971,0.000741793158099262,0.7390533789072263,0.0008058162761283208
0.7999999999999999,0.7226293202054437,0.001238210975571848,0.7200799144399108,0.0012504279255627659,0.7199897280579031,0.0010287757451473598,0.7211969853480503,0.00095121372924301,0.7181526591035491,0.0010282381418666997,0.7213452179522979,0.0009203963063191559
0.8333333333333333,0.6969025938345877,0.0017441882337262907,0.693091658245253,0.0015314634581010769,0.692095512095392,0.001555903785193103,0.6916985855205473,0.0014620306213190162,0.6911848886968683,0.0014233248218266357,0.6931835735243898,0.0012199719107542227
0.8666666666666666,0.6698829026961456,0.002071775677421277,0.6588802191155767,0.002626269007469007,0.6589883332052098,0.002005159043074731,0.660351332682485,0.0021852792586590395,0.658862901406289,0.0017855036715287436,0.6541978422322419,0.002017668742870907
0.8999999999999999,0.6344361786484334,0.0034116168098729874,0.626010702530651,0.002797611304335452,0.616707005103215,0.0035280496777108255,0.6154537713429633,0.0026594851531798937,0.6154085956224922,0.0027010237635544687,0.6102072076321576,0.002546558773810812
0.9333333333333333,0.5965860916186556,0.0031895253123806087,0.5768181158699662,0.003967026578674347,0.5626212594538285,0.004014719333827823,0.5560688432347083,0.0039519080119785315,0.550343817317389,0.004245513513833216,0.535215608029636,0.004697662306991349
0.9666666666666666,0.5313356844826527,0.005320027116970168,0.5113579950385334,0.004743774171758797,0.4841949903123851,0.005803275103488895,0.45591972377296597,0.006200885072048366,0.4280823527151557,0.007456159783018968,0.4152184040450486,0.007150291360930138
1.0,0.45425135813868006,0.006553745660700294,0.3910735518393987,0.00818651632388844,0.3565168551630731,0.00882039984321507,0.3130323331224649,0.008418655682152505,0.2719662456033234,0.009494600940340821,0.22618926709964843,0.010115718144128212
1.0333333333333332,0.3701444477830588,0.008024344345334833,0.28542386085227234,0.009106779556096959,0.21899981725874035,0.009954975310537791,0.1389832469254829,0.011227771700364115,0.12354798646283627,0.011194743016572589,0.055362206039432815,0.012265098768882937
1.0666666666666667,0.2673137641117861,0.010063467154009378,0.15451634568062533,0.010619349903169421,0.11234617944376649,0.010819134049900151,0.02860117349309288,0.012460346084442889,0.02257305755055855,0.011712482186567515,0.031166825263718223,0.011440824908366577
1.1,0.1894992639275513,0.009964869543808007,0.10093079848634473,0.010553744190154792,0.02175702065524393,0.01172612294532508,0.01292744006390939,0.01147529644119482,-0.02481386296469068,0.012205431654528491,-0.009262360640833467,0.011709101104199744
1.1333333333333333,0.11767254451667278,0.010091068039815554,0.054315247828781055,0.010519809832251032,0.010920265208991642,0.010999006758193328,-0.0002368342473343943,0.01115048286134741,0.001939920447276866,0.01100314113636847,0.0023037271976183993,0.011210995919382974
1.1666666666666665,0.05663950098822734,0.010763761498814244,0.008111606962003803,0.010676433695991949,0.016440187013993635,0.010822721362159629,-0.013863053834183625,0.01117673174475733,-0.003333986826769275,0.010825600684308023,-0.0026759509637874768,0.010249546223572466
1.2,0.03757117240909136,0.010458395008418308,-0.013331212091190814,0.010474643996762975,0.00030055680747709257,0.01058970364257884,-0.02346274204466603,0.010781947318662851,-0.004739682015437396,0.010974740876297576,0.010220397772907841,0.010413571864823107
1.2333333333333334,0.014731699378914387,0.010004482119593486,-0.005318888458370641,0.01072340810643241,-0.010285228159525983,0.009959436998366822,-0.005335410341555574,0.009933138309929429,0.00861100816499824,0.00985069680821304,-0.009949896585841611,0.010477820381110555
1.2666666666666666,0.01049261731433554,0.00968289363900797,0.005465360864839258,0.010051615950092237,0.006541299114232929,0.009577322061183446,-0.019074516730141516,0.010176429574081916,-0.0034896213369405016,0.009696297754008864,-0.00941662899936302,0.009557765169033545
1.2999999999999998,0.00749056338499926,0.00922710472719941,0.0046577061733888425,0.009503467374789664,0.010644753004163732,0.008973735498261996,0.005508824037327248,0.009326123671455223,0.009323777775900488,0.008941404252517583,0.00810860656415821,0.009010566293589954
1.3333333333333333,0.010861978251100746,0.008846368716015322,-0.008157213688323117,0.009148536993343169,-0.005655971695620293,0.009142422493781985,-0.008410191533265304,0.009252697878089746,0.006062211883117646,0.008739733334204646,0.01212724731692666,0.008974517619805871
1.3666666666666667,-0.005370601656632584,0.00874438640938628,0.0046042371444458,0.0088030767275464,0.011778858354635824,0.00845812889790305,0.007321480628909333,0.008516206884543784,0.002026054555565676,0.008944309690311982,0.008202087221808013,0.008653187751832554
1.4,0.012255456081675303,0.00848451224859148,-0.010463312321367962,0.009207528835266944,-0.018650753174224044,0.00868795383997196,0.006246128875875584,0.008329370982968362,-0.013282523473573171,0.008710884886012123,0.0005026397203083122,0.008292198996591239
1.4333333333333331,-0.002062783766629439,0.008620265129572802,0.013709300234046096,0.007921044620762572,0.002361584704882652,0.008529728411495349,0.012033683685975738,0.00803789835972868,-0.003642529583384735,0.008503019892403256,-0.0037064362910419757,0.008154415082239437
