L,T_BKT,T_BKT_error,T_BKT_eta,T_BKT_eta_error,T_BKT_xi,T_BKT_xi_error
20,0.9342614423969782,0.001640154100447967,0.9835957641334331,0.0018304235251862205,0.9655632848623766,0.005275275874995511
30,0.9251150224376927,0.0016011755108374034,0.9650799257041771,0.0017825970254924588,0.9561112442725107,0.004741553526396426
40,0.9193649797031351,0.0016693509312060606,0.9560344328010554,0.0014958718505462354,0.9166391899621699,0.0053019867461017835
50,0.9175736272116638,0.0013670254126441877,0.9461573811894384,0.0011101992094806148,0.8985379745441852,0.00480726564940742
60,0.9163993684908602,0.0013417747513351924,0.9423070432186738,0.0009597410217189421,0.8942897453949971,0.003923253656322944
70,0.9129052898289074,0.0012549026461703828,0.9395353236529121,0.0008502363075759054,0.8944441928642317,0.0033792864852606143
